source_review_id,source_pr_id,repo_key,reviewer_key,state,submitted_at
RV-1,PR-1,meridian/dmops-001-analysis,omar,approved,2026-06-03T10:00:00Z
RV-2,PR-1,meridian/dmops-001-analysis,priya,commented,2026-06-04T09:00:00Z
RV-3,PR-2,meridian/dmops-001-analysis,omar,changes_requested,2026-06-09T10:00:00Z
RV-4,PR-3,meridian/dmops-001-analysis,omar,approved,2026-06-16T13:00:00Z
RV-5,PR-4,meridian/dmops-001-analysis,tomas,approved,2026-06-11T09:00:00Z
RV-6,PR-6,meridian/dmops-001-analysis,omar,commented,2026-06-19T10:00:00Z
RV-7,PR-8,meridian/dmops-001-analysis,omar,approved,2026-06-26T11:00:00Z
RV-8,PR-5,meridian/dmops-001-analysis,omar,approved,2026-05-22T10:00:00Z
RV-9,PR-7,meridian/dmops-001-analysis,priya,dismissed,2026-06-23T15:00:00Z
RV-10,PR-9,meridian/dmops-001-analysis,tomas,commented,2026-06-02T10:00:00Z
